x1,x2,x1dot,x2dot,fX,mode_fsign,sigma
1.76609808228209,-0.705863038432734,-0.705863038432734,-1.06023504384935,-6.07621658357246,2,-1
1.75384244871739,-0.723780743576871,-0.723780743576871,-1.03006170514052,-5.95222844890208,2,-1
1.74128405903067,-0.741182974788587,-0.741182974788587,-1.00010108424208,-5.82608031950266,2,-1
1.7284317180362,-0.75807342148798,-0.75807342148798,-0.970358296548221,-5.69792512427886,2,-1
1.7149708637657,-0.774848370965354,-0.774848370965354,-0.940122492800341,-5.56472721548218,2,-1
1.70122006948578,-0.791094430677441,-0.791094430677441,-0.910125638808336,-5.42974252273976,2,-1
1.68718858661753,-0.806815841903078,-0.806815841903078,-0.880372744714451,-5.29312938577389,2,-1
1.67288558985926,-0.822016930096859,-0.822016930096859,-0.850868659762403,-5.15504380768921,2,-1
1.65800058788576,-0.837015752420908,-0.837015752420908,-0.820984835464849,-5.01259431289873,2,-1
1.64285125527676,-0.851480773685849,-0.851480773685849,-0.791370481590912,-4.86892897139263,2,-1
1.62744712703235,-0.86541687193683,-0.86541687193683,-0.762030255095518,-4.72420587998394,2,-1
1.6117976484204,-0.878829004665388,-0.878829004665388,-0.73296864375501,-4.57858007260354,2,-1
1.59559635424675,-0.891971475988268,-0.891971475988268,-0.70362487825848,-4.4293080541939,2,-1
1.57915948348252,-0.904579760303245,-0.904579760303245,-0.674579723179276,-4.27941283195994,2,-1
1.56249676061681,-0.916659361177153,-0.916659361177153,-0.645837399439661,-4.12904834529221,2,-1
1.54561780732437,-0.928215855027309,-0.928215855027309,-0.617401952297065,-3.97836479835426,2,-1
1.52821986899393,-0.939450702455102,-0.939450702455102,-0.58876916653883,-3.82476705738398,2,-1
1.51061757817605,-0.950155159201975,-0.950155159201975,-0.560462418974074,-3.67114071447569,2,-1
1.49282075962512,-0.960335335131761,-0.960335335131761,-0.53248542449336,-3.51763191634622,2,-1
1.4748391222983,-0.969997404707716,-0.969997404707716,-0.504841717590579,-3.36438248219558,2,-1
1.4563730873777,-0.979298306947974,-0.979298306947974,-0.477074780429726,-3.20894355348558,2,-1
1.43773580460008,-0.988076475510455,-0.988076475510455,-0.449659329089622,-3.05405486763569,2,-1
1.41893711461025,-0.996338600614562,-0.996338600614562,-0.422598513995691,-2.89985152497502,2,-1
1.39998672952108,-1.00409142737139,-1.00409142737139,-0.395895302149687,-2.74646380638774,2,-1
1.38058752547937,-1.01145375910255,-1.01145375910255,-0.369133766376822,-2.59158533848696,2,-1
1.36105154054115,-1.01830456757713,-1.01830456757713,-0.342746972964023,-2.43780474299651,2,-1
1.34138855173199,-1.02465109189243,-1.02465109189243,-0.316737459839561,-2.28524327813783,2,-1
